,Sample #,Raw Data,Filtered Data
0,1.0,2438.7551,2438.7551
1,2.0,2438.1501,2438.6340999999998
2,3.0,2442.385,2439.38428
3,4.0,2444.8051,2440.4684440000005
4,5.0,2447.83,2441.9407552000002
5,6.0,2449.645,2443.48160416
6,7.0,2451.4599,2445.0772633280003
7,8.0,2452.0651,2446.4748306624006
8,9.0,2452.6701,2447.7138845299205
9,10.0,2451.4599,2448.463087623936
10,11.0,2451.4599,2449.062450099149
11,12.0,2450.8549,2449.4209400793193
12,13.0,2450.25,2449.5867520634556
13,14.0,2450.8549,2449.8403816507644
14,15.0,2450.25,2449.9223053206115
15,16.0,2451.4599,2450.2298242564893
16,17.0,2450.8549,2450.3548394051913
17,18.0,2450.25,2450.3338715241534
18,19.0,2450.8549,2450.4380772193226
19,20.0,2451.4599,2450.642441775458
20,21.0,2450.25,2450.5639534203665
21,22.0,2450.25,2450.5011627362933
22,23.0,2449.645,2450.3299301890347
23,24.0,2451.4599,2450.555924151228
24,25.0,2451.4599,2450.736719320982
25,26.0,2449.645,2450.5183754567856
26,27.0,2450.25,2450.4647003654286
27,28.0,2449.04,2450.179760292343
28,29.0,2449.04,2449.9518082338745
29,30.0,2449.04,2449.7694465871
30,31.0,2448.435,2449.50255726968
31,32.0,2449.04,2449.410045815744
32,33.0,2447.83,2449.0940366525956
33,34.0,2447.83,2448.8412293220763
34,35.0,2447.83,2448.638983457661
35,36.0,2447.83,2448.4771867661293
36,37.0,2447.83,2448.347749412904
37,38.0,2446.6201,2448.002219530323
38,39.0,2448.435,2448.0887756242587
39,40.0,2446.0151,2447.674040499407
40,41.0,2446.6201,2447.463252399526
41,42.0,2446.6201,2447.294621919621
42,43.0,2445.4101,2446.917717535697
43,44.0,2446.0151,2446.737194028558
44,45.0,2444.2001,2446.2297752228465
45,46.0,2444.8051,2445.9448401782774
46,47.0,2444.2001,2445.5958921426222
47,48.0,2445.4101,2445.558733714098
48,49.0,2444.8051,2445.4080069712786
49,50.0,2444.8051,2445.287425577023
50,51.0,2444.2001,2445.0699604616184
51,52.0,2444.2001,2444.8959883692946
52,53.0,2443.5949,2444.635770695436
53,54.0,2442.9899,2444.3065965563487
54,55.0,2443.5949,2444.164257245079
55,56.0,2442.9899,2443.9293857960633
56,57.0,2442.385,2443.620508636851
57,58.0,2442.385,2443.3734069094808
58,59.0,2442.9899,2443.296705527585
59,60.0,2441.78,2442.993364422068
60,61.0,2441.175,2442.6296915376547
61,62.0,2441.78,2442.459753230124
62,63.0,2442.9899,2442.5657825840995
63,64.0,2440.57,2442.1666260672796
